,tweet_id,timestamp,rating_numerator,rating_denominator,name,dog_stage,jpg_url,prediction,confidence,breed,retweet_count,favorite_count
0,892420643555336193,2017-08-01 16:23:56+00:00,13,10,Phineas,,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,orange,0.0970486,False,7489,35461
12,892177421306343426,2017-08-01 00:17:27+00:00,13,10,Tilly,,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,chihuahua,0.323581,True,5557,30693
24,891815181378084864,2017-07-31 00:18:03+00:00,12,10,Archie,,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,chihuahua,0.716012,True,3681,23088
36,891689557279858688,2017-07-30 15:58:51+00:00,13,10,Darla,,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,paper towel,0.17027799999999998,False,7665,38754
48,891327558926688256,2017-07-29 16:00:24+00:00,12,10,Franklin,,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,0.555712,True,8267,37032
60,891087950875897856,2017-07-29 00:08:17+00:00,13,10,,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,chesapeake bay retriever,0.425595,True,2767,18666
72,890971913173991426,2017-07-28 16:27:12+00:00,13,10,Jax,,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,appenzeller,0.34170300000000003,True,1798,10850
84,890729181411237888,2017-07-28 00:22:40+00:00,13,10,,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,pomeranian,0.566142,True,16770,59773
96,890609185150312448,2017-07-27 16:25:51+00:00,13,10,Zoey,,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,irish terrier,0.487574,True,3823,25688
108,890240255349198849,2017-07-26 15:59:51+00:00,14,10,Cassie,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,pembroke,0.511319,True,6509,29319
111,890240255349198849,2017-07-26 15:59:51+00:00,14,10,Cassie,,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,pembroke,0.511319,True,6509,29319
120,890006608113172480,2017-07-26 00:31:25+00:00,13,10,Koda,,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,samoyed,0.957979,True,6516,28250
132,889880896479866881,2017-07-25 16:11:53+00:00,13,10,Bruno,,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,french bulldog,0.377417,True,4429,25709
144,889665388333682689,2017-07-25 01:55:32+00:00,13,10,,,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,pembroke,0.966327,True,8890,44173
153,889665388333682689,2017-07-25 01:55:32+00:00,13,10,,puppo,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,pembroke,0.966327,True,8890,44173
156,889638837579907072,2017-07-25 00:10:02+00:00,12,10,Ted,,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,french bulldog,0.99165,True,3973,24843
168,889531135344209921,2017-07-24 17:02:04+00:00,13,10,Stuart,,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,golden retriever,0.953442,True,2008,13973
177,889531135344209921,2017-07-24 17:02:04+00:00,13,10,Stuart,puppo,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,golden retriever,0.953442,True,2008,13973
180,889278841981685760,2017-07-24 00:19:32+00:00,13,10,Oliver,,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,whippet,0.626152,True,4737,23186
192,888917238123831296,2017-07-23 00:22:39+00:00,12,10,Jim,,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,golden retriever,0.714719,True,3987,26809
204,888804989199671297,2017-07-22 16:56:37+00:00,13,10,Zeke,,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,golden retriever,0.46976,True,3760,23522
216,888554962724278272,2017-07-22 00:23:06+00:00,13,10,Ralphus,,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,siberian husky,0.700377,True,3074,18144
228,888078434458587136,2017-07-20 16:49:33+00:00,12,10,Gerald,,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,french bulldog,0.995026,True,3080,20037
240,887705289381826560,2017-07-19 16:06:48+00:00,13,10,Jeffrey,,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,basset,0.821664,True,4798,27867
252,887517139158093824,2017-07-19 03:39:09+00:00,14,10,such,,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,limousine,0.130432,False,10466,42691
264,887473957103951883,2017-07-19 00:47:34+00:00,13,10,Canela,,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,pembroke,0.809197,True,15985,63215
276,887343217045368832,2017-07-18 16:08:03+00:00,13,10,,,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,mexican hairless,0.330741,True,9356,31002
288,887101392804085760,2017-07-18 00:07:08+00:00,12,10,,,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,samoyed,0.733942,True,5300,28203
300,886983233522544640,2017-07-17 16:17:36+00:00,13,10,Maya,,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,chihuahua,0.793469,True,6795,32049
312,886736880519319552,2017-07-16 23:58:41+00:00,13,10,Mingus,,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,kuvasz,0.309706,True,2832,11005
324,886680336477933568,2017-07-16 20:14:00+00:00,13,10,Derek,,https://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg,convertible,0.738995,False,3986,20716
336,886366144734445568,2017-07-15 23:25:31+00:00,12,10,Roscoe,,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,french bulldog,0.999201,True,2811,19451
342,886366144734445568,2017-07-15 23:25:31+00:00,12,10,Roscoe,pupper,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,french bulldog,0.999201,True,2811,19451
348,886258384151887873,2017-07-15 16:17:19+00:00,13,10,Waffles,,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,pug,0.943575,True,5626,25747
360,885984800019947520,2017-07-14 22:10:11+00:00,12,10,Jimbo,,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,blenheim spaniel,0.972494,True,5970,29975
372,885528943205470208,2017-07-13 15:58:47+00:00,13,10,Maisey,,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,pug,0.369275,True,5681,33079
384,885167619883638784,2017-07-12 16:03:00+00:00,13,10,,,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg,malamute,0.8124819999999999,True,3879,20137
396,884925521741709313,2017-07-12 00:01:00+00:00,12,10,Earl,,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,italian greyhound,0.259916,True,16034,70836
408,884876753390489601,2017-07-11 20:47:12+00:00,13,10,Lola,,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,chow,0.822103,True,4954,25592
420,884562892145688576,2017-07-11 00:00:02+00:00,13,10,Kevin,,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,pug,0.5464060000000001,True,4181,22373
432,884441805382717440,2017-07-10 15:58:53+00:00,14,10,,,https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,pembroke,0.993225,True,5070,24947
444,884162670584377345,2017-07-09 21:29:42+00:00,12,10,Yogi,doggo,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,german shepherd,0.707046,True,2661,18790
447,884162670584377345,2017-07-09 21:29:42+00:00,12,10,Yogi,,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,german shepherd,0.707046,True,2661,18790
456,883838122936631299,2017-07-09 00:00:04+00:00,12,10,Noah,,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,doberman,0.610946,True,3034,20095
468,883482846933004288,2017-07-08 00:28:19+00:00,5,10,Bella,,https://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg,golden retriever,0.943082,True,8782,42167
480,883360690899218434,2017-07-07 16:22:55+00:00,13,10,Grizzwald,,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,chow,0.987997,True,3277,20879
483,883360690899218434,2017-07-07 16:22:55+00:00,13,10,Grizzwald,floofer,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,chow,0.987997,True,3277,20879
492,883117836046086144,2017-07-07 00:17:54+00:00,13,10,,,https://pbs.twimg.com/media/DEF2-_hXoAAs62q.jpg,golden retriever,0.949562,True,5910,34110
504,882992080364220416,2017-07-06 15:58:11+00:00,13,10,Rusty,,https://pbs.twimg.com/media/DEEEnIqXYAAiJh_.jpg,eskimo dog,0.466778,True,3451,21990
516,882762694511734784,2017-07-06 00:46:41+00:00,12,10,Gus,,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,labrador retriever,0.85005,True,4339,25995
522,882762694511734784,2017-07-06 00:46:41+00:00,12,10,Gus,pupper,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,labrador retriever,0.85005,True,4339,25995
528,882627270321602560,2017-07-05 15:48:34+00:00,13,10,Stanley,,https://pbs.twimg.com/media/DD-40X3WAAAJPU5.jpg,pembroke,0.542982,True,5396,25790
