,tweet_id,retweet_count,favorite_count
0,892420643555336193,7489,35461
1,892177421306343426,5557,30693
2,891815181378084864,3681,23088
3,891689557279858688,7665,38754
4,891327558926688256,8267,37032
5,891087950875897856,2767,18666
6,890971913173991426,1798,10850
7,890729181411237888,16770,59773
8,890609185150312448,3823,25688
9,890240255349198849,6509,29319
10,890006608113172480,6516,28250
11,889880896479866881,4429,25709
12,889665388333682689,8890,44173
13,889638837579907072,3973,24843
14,889531135344209921,2008,13973
15,889278841981685760,4737,23186
16,888917238123831296,3987,26809
17,888804989199671297,3760,23522
18,888554962724278272,3074,18144
19,888078434458587136,3080,20037
20,887705289381826560,4798,27867
21,887517139158093824,10466,42691
22,887473957103951883,15985,63215
23,887343217045368832,9356,31002
24,887101392804085760,5300,28203
25,886983233522544640,6795,32049
26,886736880519319552,2832,11005
27,886680336477933568,3986,20716
28,886366144734445568,2811,19451
29,886267009285017600,4,110
30,886258384151887873,5626,25747
31,886054160059072513,97,0
32,885984800019947520,5970,29975
33,885528943205470208,5681,33079
34,885518971528720385,3312,18849
35,885311592912609280,16439,0
36,885167619883638784,3879,20137
37,884925521741709313,16034,70836
38,884876753390489601,4954,25592
39,884562892145688576,4181,22373
40,884441805382717440,5070,24947
41,884247878851493888,18044,66703
42,884162670584377345,2661,18790
43,883838122936631299,3034,20095
44,883482846933004288,8782,42167
45,883360690899218434,3277,20879
46,883117836046086144,5910,34110
47,882992080364220416,3451,21990
48,882762694511734784,4339,25995
49,882627270321602560,5396,25790
50,882268110199369728,10302,41251
51,882045870035918850,4330,26984
52,881906580714921986,3027,22435
53,881666595344535552,9493,46643
54,881633300179243008,7,116
55,881536004380872706,14233,45528
56,881268444196462592,4711,21445
57,880935762899988482,2488,15756
58,880872448815771648,3406,19606
59,880465832366813184,5528,26204
60,880221127280381952,3699,24814
61,880095782870896641,3873,25437
62,879862464715927552,3098,20621
63,879674319642796034,10,292
64,879492040517615616,2827,21639
65,879415818425184262,39693,97428
66,879376492567855104,2785,15519
67,879130579576475649,6062,0
68,879050749262655488,4183,20773
69,879008229531029506,2386,17527
70,878776093423087618,3645,17862
71,878604707211726852,6296,27726
72,878404777348136964,1134,0
73,878316110768087041,5918,0
74,878281511006478336,1134,7126
75,878057613040115712,6062,38830
76,877736472329191424,16868,72973
77,877611172832227328,71,0
78,877556246731214848,3398,20930
79,877316821321428993,4651,25309
80,877201837425926144,4964,25004
81,876838120628539392,2976,19101
82,876537666061221889,4195,21906
83,876484053909872640,2112,17337
84,876120275196170240,4163,25844
85,875747767867523072,3815,23182
86,875144289856114688,4390,20266
87,875097192612077568,5446,25362
88,875021211251597312,4214,23574
89,874680097055178752,4144,25714
90,874434818259525634,12992,0
91,874296783580663808,3699,24080
92,874057562936811520,3566,21016
93,874012996292530176,9137,31631
94,873580283840344065,3536,22412
95,873337748698140672,1418,0
96,873213775632977920,1418,6622
97,872967104147763200,4861,25220
98,872820683541237760,3342,13646
99,872620804844003328,3273,19199
100,872486979161796608,8135,37788
101,872122724285648897,7276,31751
102,871879754684805121,9830,34800
103,871762521631449091,3135,18745
104,871515927908634625,3128,18721
105,871166179821445120,5143,0
106,871102520638267392,4972,19426
107,871032628920680449,3438,21128
108,870804317367881728,5591,31271
109,870726314365509632,3,113
110,870656317836468226,2362,11462
111,870374049280663552,24021,77251
112,870308999962521604,3754,20390
113,870063196459192321,7520,33961
114,869772420881756160,9174,39651
115,869702957897576449,5702,26265
116,869596645499047938,2820,14866
117,869227993411051520,3418,19011
118,868880397819494401,13068,60885
119,868639477480148993,1877,0
120,868622495443632128,4795,24811
121,868552278524837888,1877,9388
122,867900495410671616,3803,22595
123,867774946302451713,6667,31706
124,867421006826221569,2269,15020
125,867072653475098625,108,0
126,867051520902168576,7190,30075
127,866720684873056260,4371,18679
128,866686824827068416,3163,17985
129,866450705531457537,32154,114242
130,866334964761202691,12992,48896
131,866094527597207552,7657,0
132,865718153858494464,5140,24038
133,865359393868664832,4565,24748
134,865006731092295680,7057,26236
135,864873206498414592,7952,30194
136,864279568663928832,2755,13670
137,864197398364647424,8075,28060
138,863907417377173506,3795,19320
139,863553081350529029,3849,14318
140,863471782782697472,2220,0
141,863432100342583297,4804,22305
142,863427515083354112,88,2063
143,863079547188785154,1020,8236
144,863062471531167744,2220,7913
145,862831371563274240,4726,18002
146,862722525377298433,3259,16063
147,862457590147678208,4519,19178
148,862096992088072192,21309,69672
149,861383897657036800,9861,33919
150,861288531465048066,3813,16139
151,861005113778896900,3526,15706
152,860981674716409858,1977,0
153,860924035999428608,733,0
154,860563773140209665,1977,7055
155,860524505164394496,4901,22283
156,860276583193509888,3251,17340
157,860184849394610176,5409,15718
158,860177593139703809,28586,0
159,859924526012018688,3809,18504
160,859851578198683649,3272,14576
161,859607811541651456,1439,17599
162,859196978902773760,27939,84823
163,859074603037188101,12660,31939
164,858860390427611136,7531,0
165,858843525470990336,3230,14765
166,858471635011153920,4521,20375
167,858107933456039936,2689,14923
168,857989990357356544,2413,15220
169,857746408056729600,9912,32447
170,857393404942143489,1532,5585
171,857263160327368704,4229,19063
172,857214891891077121,17,214
173,857062103051644929,156,0
174,857029823797047296,3716,17900
